80;PCL;± clitic possessives                ;+FGP, ¬+GFP, ¬+DMP, ¬+UST, (-PDC or ¬+DGR);PCL;-;-;-;0;-;0;0;0;+;+;+;+;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;-;-;+;-;-;0;0;0;0;-;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;+;0;-;-;PCL;80;;;;;;;;;;;;;;;;;;;;
81;APO;± adjectival  possessives;¬+GFP, ¬+UST;APO;+;+;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;0;0;-;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;0;-;-;APO;81;;;;;;;;;;;;;;;;;;;;
82;WAP;± Wackernagel possessives;¬+DMP, +NUD, -PDC, -APO or (-NM1, +APO);WAP;+;-;0;0;0;0;0;0;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WAP;82;;;;;;;;;;;;;;;;;;;;
83;AGE;± adjectival genitive;+APO;AGE;-;-;-;-;-;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;+;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AGE;83;;;;;;;;;;;;;;;;;;;;
84;OPK;± null possessive licensing article with kinship nouns;+DGR, -GSI;OPK;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;+;+;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;+;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;OPK;84;;;;;;;;;;;;;;;;;;;;
85;TSP;± split deictic demonstratives                    ;-FSN or +DGR;TSP;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;+;0;0;TSP;85;;;;;;;;;;;;;;;;;;;;
86;TDP;± split demonstratives                    ;+TSP;TDP;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;TDP;86;;;;;;;;;;;;;;;;;;;;
87;TDC;± D-checking demonstratives;-TSP;TDC;+;+;+;+;+;0;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;+;0;0;0;TDC;87;;;;;;;;;;;;;;;;;;;;
88;TSA;± structured demonstratives (adjectival);¬+UST, ¬+TSP, ((+DGR, +NM1) or (-ARR, -NM1) or -NUC);TSA;0;0;-;-;-;0;-;+;0;0;-;-;-;-;-;-;-;-;-;-;+;+;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TSA;88;;;;;;;;;;;;;;;;;;;;
89;TAR;± unstructured demonstratives;+ARR, ¬+TSP;TAR;-;-;-;+;-;0;-;-;-;-;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;0;0;+;+;+;+;0;0;0;0;0;0;0;0;-;+;+;+;+;+;+;+;+;-;0;0;-;0;0;0;TAR;89;;;;;;;;;;;;;;;;;;;;
90;TLC;± Dem fronting to Loc;¬+TSP, ¬+TDC, (+TSA or (+PNP, +TAR));TLC;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;+;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TLC;90;;;;;;;;;;;;;;;;;;;;
91;TND;± long distance D-checking demonstratives;+CGR, (+TSA or +TAR);TND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TND;91;;;;;;;;;;;;;;;;;;;;
92;TDA;± split def on adjectival demonstratives;(+DSS or +DSA), (+TSA or +TAR);TDA;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TDA;92;;;;;;;;;;;;;;;;;;;;
93;TNL;± DP under Loc;+TSP or +TLC or (¬+TSP, ¬+TDC, ¬+TSA, ¬+TAR);TNL;0;0;0;0;0;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;+;+;+;+;+;0;0;0;0;0;+;+;0;0;0;0;+;0;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;+;0;+;0;-;+;+;TNL;93;;;;;;;;;;;;;;;;;;;;
94;FVP;± variable person;+FGA, -NWD;FVP;+;-;-;+;?;-;-;+;-;+;+;+;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;FVP;94;;;;;;;;;;;;;;;;;;;;
