17;DGR;± grammaticalized Specified Quantity; -FPC, +FGN;DGR;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;-;-;-;-;-;0;0;0;0;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;DGR;17;;;;;;;;;;;;;;;;;;;;
18;DGP;± grammaticalized text anaphora   ;¬+DGR   ;DGP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;+;+;+;DGP;18;;;;;;;;;;;;;;;;;;;;
19;CGR;± weak Specified Quantity;-CGB, +DGR;CGR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CGR;19;;;;;;;;;;;;;;;;;;;;
20;NWD;± weak person ;+FGP, -FSN or +DGR;NWD;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;+;-;0;0;NWD;20;;;;;;;;;;;;;;;;;;;;
21;DGD;± grammaticalized distality;-FSN or +DGR;DGD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;+;-;0;0;DGD;21;;;;;;;;;;;;;;;;;;;;
22;DPQ;± free null partitive Q;+FNN, -CGB;DPQ;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;0;0;0;0;0;0;-;-;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPQ;22;;;;;;;;;;;;;;;;;;;;
23;DCN;± article-checking N;-FSN or +DGR;DCN;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;+;+;+;+;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;DCN;23;;;;;;;;;;;;;;;;;;;;
24;DNN;± null-N-licensing art ;-DCN ;DNN;-;-;-;+;-;-;+;0;-;-;-;-;-;+;+;+;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;-;-;0;0;DNN;24;;;;;;;;;;;;;;;;;;;;
25;DIN;± D-controlled inflection on N;+FSN;DIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;DIN;25;;;;;;;;;;;;;;;;;;;;
26;FGC;± grammaticalized classifier;¬+FGN;FGC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FGC;26;;;;;;;;;;;;;;;;;;;;
